SMILES,TDDFT_S1,TDDFT_T1
[2H]BC1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,4.5566,4.3095
BC1CCC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O1,1.5245,1.515
Cc1ccccc1/N=N/c1cc(C)c(/N=N/c2c(O)ccc3ccccc23)cc1C,2.3116,1.4908
[2H]c1c([2H])c([2H])c2c(c1[2H])c([2H])c([2H])c1c([2H])c3c(c([2H])c([2H])c4c([2H])c([2H])c([2H])c([2H])c43)c([2H])c12,3.3683,2.2444
[2H]CC[2H],8.8302,8.5874
[2H]C=CC1=C(n2ccc(=O)[nH]c2=O)O[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,3.8734,2.6158
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC)c(=O)[nH]c2=O)[C@@H](O)C1O,3.9898,2.5137
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC(=O)CCCN3c4cc(OC)c(/N=N/c5ccc(C)cc5)cc4C(C)=CC3(C)C)c(=O)[nH]c2=O)CC1O,2.6228,1.7636
CCCC[n+]1c(CC)c(CC)c(/C=C2\Sc3c(CC)c(CC)c(CC)c(CC)c3N2CC)c2c(CC)c(CC)c(CC)c(CC)c21,2.4742,1.6448
CCC(=O)OCCN(C)c1ccc(/C=C/c2nc3ccc(N(C)C)cc3oc2=O)cc1,2.6095,1.5695
Brc1ccc2c(c1)CCc1nc(-c3ccccc3)c3c(c1-2)CCc1cc(Br)ccc1-3,3.4884,2.2226
BCC(=O)OCC[n+]1c(/C=C/c2cc3ccc(N(CC)CC)cc3oc2=O)sc2ccccc21,2.3884,1.5096
Brc1ccc2c(-c3ccc4ccccc4c3)c3ccccc3c(-c3ccc4ccccc4c3)c2c1,3.0412,1.7226
Brc1ccc2c(-c3ccccc3)c3ccccc3c(-c3ccccc3)c2c1,3.0708,1.7277
c1ccc(N(c2ccccc2)c2ccccc2-c2cc(-c3cccs3)c(-c3ccccc3N(c3ccccc3)c3ccccc3)cc2-c2cccs2)cc1,3.1845,2.6457
Brc1ccc(-c2nc3ccccc3c3cc4ccccn4c23)cc1,3.1205,2.2379
ClC(Br)Br,4.7367,4.223
c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1,3.6554,2.6412
c1ccc(N(c2ccccc2)c2ccc(-c3cncs3)cc2)cc1,3.3349,2.5103
c1ccc2c(c1)-c1cccc3nc(-c4ccc5ccccc5c4)cc-2c13,3.0052,2.25
c1ccc2cc3cc4c(ccc5cc6ccccc6cc54)cc3cc2c1,2.6673,1.4475
CCCCN1B2OB3C(=Cc4ccccc4N3CCCC)C(c3ccccc3)=C(c3ccccc3)C2=Cc2ccccc21,2.4975,1.0264
C1=CB2C=Cc3ccccc3N2C=C1,3.9823,2.9035
c1ccc(-c2pc3ccccc3s2)cc1,3.575,2.1087
Cc1ccccc1N1c2c(sc3ccccc23)Sc2sc3ccccc3c21,3.1062,2.5104
Brc1ccc(-c2cc(/N=C/c3c4ccccc4cc4ccccc34)n(-c3ccccc3)n2)cc1,2.583,1.4661
c1cc2ccc3ccc4cc3c2cc1c1ccc2c(c1)c1cc(ccc1[C@]13OCCO[C@]21OCCO3)c1ccc2c(c1)c1cc4ccc1[C@]13OCCO[C@]21OCCO3,3.3983,2.3836
Brc1ccc(-c2cc3c4cc(-c5ccc(Br)cc5)oc4c4ccccc4c3o2)cc1,3.3368,2.3493
C1=CC2=CC=CC3C=c4c(cc5cccc6cccc4c65)C(=C1)C23,2.2744,0.9988
Brc1ccc(C2=C(c3ccc(Br)cc3)c3cccc4c3c(cc3nc5ccccc5nc34)O2)cc1,2.4935,1.8309
C1=Cc2cc3ccc(cc4ccc(cc5nc(cc1n2)C=C5)[nH]4)[nH]3,2.1261,1.3422
c1cc2cc(-c3ccncc3)c3cccc4c(-c5ccncc5)cc(c1)c2c34,3.4993,2.0752
c1cc2ccc3[o+]c4ccc5cccc6c7cccc8c(c1)c2c3c(c87)c4c56,2.3026,1.5754
C[P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21,3.249,2.3339
c1ccc2c(-n3c4ccccc4c4ccccc43)cccc2c1,3.3152,2.6615
C(=C/c1cnc2ccccc2n1)\c1ccc(N2CCCCC2)cc1,2.722,1.8225
