SMILES,TDDFT_S1,TDDFT_T1
O=C1NC(=O)C(C(c2ccccc2)n2cnc3nc4nc[nH]c4cc32)=C1C(c1ccccc1)c1ccc(-c2cc3c4c(c2)CCCN4CCC3)cc1,1.4497,1.3948
CCc1ccc2c(c1)C(C)(CC)c1cc(-c3ccc(C)c4nsnc34)ccc1-2,2.6591,1.8908
CC(C)(C)c1cc(N=Nc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,2.7392,1.9171
CN(C)c1ccc(C2CC(c3ccc(C#N)c(C#N)c3C#N)CC(c3ccccc3)(c3ccccc3)C2)cc1,2.338,2.3377
Cc1cc(-c2ccc3c(c2)sc2ccccc23)cc(C)c1-c1c2ccoc2cc2ccoc12,3.8762,2.7688
CN(C)c1cccc2c(C=Cc3ccnnc3)cccc12,2.8753,2.0518
CN(C)c1ccc2cc(C3CCC(c4ccc(C5CCC(c6ccc(-n7cnc8ccccc87)cc6)CC5)c5ncoc45)CC3)ccc2c1,3.6353,2.5971
Cc1cc(-n2nnc3ccccc32)cc(C)c1-c1ccc2c(c1)[nH]c1ccccc12,4.0171,3.1181
Cc1cc(-c2ccnc3c2[CH2:2]c2cccnc2[SiH2:2]3)cc(C)c1-c1nnc(-c2cc(C)c(-n3cnc4ccccc43)c(C)c2)n1C,4.1398,3.2363
COC[C@@H]1COc2c(/C=C(\C#N)C(=O)O)sc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c2O1,2.3978,1.662
Cc1c(C)c(-c2c3ccoc3cc3ccoc23)c(C)c(C)c1-c1cccc2ccccc12,4.1284,2.6855
COc1ccc2n1[B-](F)(F)[N+]1=C(N(CCN(Cc3ccccn3)Cc3ccccn3)Cc3ccccn3)C=CC1=C2c1c(C)cc(C)cc1C,2.7017,1.3338
c1ccc(C(c2ccc3c(c2)Cc2cc(C(c4ccccc4)n4cnc5cc6nc[nH]c6cc54)ccc2-3)n2ccc3ccccc32)cc1,3.738,2.9845
c1ccc(-c2ccc(CSCn3c4ccccc4c4ccncc43)cn2)nc1,3.8242,3.0364
c1ccc(C2(c3ccccc3)CC(c3cocn3)CC(c3ccc(C4CC(c5ccc6c7ccccc7c7nccnc7c6c5)CC(c5ccccc5)(c5ccccc5)C4)c4sccc34)C2)cc1,3.478,2.8315
Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5ccc(-n6c7c(C)cccc7c7cccc(C)c76)c6nsnc56)c5c4C(=O)C=CC5=O)c4nsnc34)c12,1.5185,1.5179
F[B-]1(F)n2c(C3CCCCC3)cc(C3CCCCC3)c2C(c2ccccc2)=C2C(C3CCCCC3)=CC(C3CCCCC3)=[N+]21,2.8841,1.5426
Cc1cc(C)c(-n2cnc3nc4nc[nH]c4cc32)c(C)c1-c1ccc2sc3ncccc3c2c1,3.9403,3.1174
Cc1cccc2c1[nH]c1ccc(C(c3ccccc3)c3c(C#N)cc(C#N)c(C(c4ccccc4)c4cc5nc6ccoc6nc5o4)c3C#N)cc12,2.7423,2.663
Cc1cc(-c2cncc3c2[SiH2:2]c2ccncc2-3)cc(C)c1-c1ccc2c(c1)-c1ccncc1[SiH2:2]2,3.875,2.9577
C(#Cc1cc2ccccc2s1)c1ccc2c(c1)[nH]c1ccccc12,3.3558,2.2151
Cc1c(-c2ccc3cc(N(C)C)ccc3c2)ccc(-c2c3nc[nH]c3cc3[nH]cnc23)c1C,3.4939,2.5531
C(=Cn1c2ccccc2c2c3ccccc3[nH]c21)c1nc2nc3ocnc3nc2o1,2.537,2.0949
[NH-]c1cc(N)cc(-c2nc3ccccc3s2)c1,1.3396,0.8011
Cc1cccc2c3cccc(C)c3n(-c3nc4nc5ncoc5nc4o3)c12,2.8154,2.6212
Cc1cc(C)c(-c2ccc3c(c2)oc2cc(-c4c(C)cc(C)c(-c5cccc6c(=O)cc[nH]c56)c4C)ccc23)c(C)c1-c1ccc2cc(N(C)C)ccc2c1,3.5079,2.5731
OC12NC(=S)NC1(O)c1cccnc1-c1ncccc12,3.3287,3.0625
C(=Cc1nc2cc3ncoc3nc2o1)c1ccc2c3ccccc3c3[nH]cnc3c2c1,3.0485,2.0474
c1ccc(C(c2cocn2)c2nc3nc4ncoc4nc3o2)cc1,3.9399,3.0239
Fc1cc(C(c2ccccc2)c2nc3nc4oc(C(c5ccccc5)c5ccc6c(c5)oc5ccccc56)nc4nc3o2)cc(F)c1F,3.2779,2.773
Cc1c(-c2sc(-c3ccc(C=C(C#N)C#N)s3)c3ccccc23)oc2ccccc12,2.0713,1.0462
CN(C)c1ccc(C=Cc2c3ncsc3c(C=CN3c4ccccc4C(C)(C)c4ccccc43)c3ncsc23)cc1,2.4658,1.5985
Cc1cccc2c3cccc(C)c3n(COCc3cnoc3)c12,4.0815,3.1505
Cc1cc(C)c(-c2c3ccoc3cc3ccoc23)c(C)c1-c1cccc2c1C(=O)C=CC2=O,1.8118,1.7955
CC1c2cc(C(c3ccccc3)c3ccc4cnccc4c3)ccc2-c2ccc(C(c3ccccc3)n3cnc4ccccc43)cc21,4.0111,2.8129
c1ccc(C(c2coc3nc4occc4nc23)n2cnc3ccccc32)cc1,3.3443,2.8942
c1ncc(CSCc2c3scnc3cc3ncsc23)cn1,4.1799,2.9552
Cc1c(C)c(C2c3ccccc3-c3ccccc32)c(C)c(C)c1-c1cccc2ccccc12,4.2156,2.6815
Nc1ncnc2c1c(C#Cc1c3ccccc3cc3ccccc13)cn2[C@H]1C[C@H](O)[C@@H](CO)O1,2.7372,1.5287
O=C(O)[C@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O,3.4735,2.7245
Cc1cccc2c3cccc(C)c3n(C3CCC(c4c5ncsc5c(C5CCC(n6c7ccncc7c7cnccc76)CC5)c5ncsc45)CC3)c12,3.2171,2.7928
O=C1NC(=O)C(C2CCC(n3ccc4nc5ccoc5nc43)CC2)=C1C1CCC(n2cnc3ccccc32)CC1,2.8771,2.787
c1cnc2c(c1)[CH2:2]c1cc(C3CCC(c4coc5nc6occc6nc45)CC3)ccc1[SiH2:2]2,4.0671,2.8645
Cc1cc(-c2cncc3ccccc23)c(C)cc1-c1nc2ccccc2s1,3.8302,2.716
O=c1cc[nH]c2c(C3CCC(c4ccc5c(c4)sc4cc(C6CCC(c7ccc8c9ccccc9c9[nH]cnc9c8c7)CC6)ccc45)CC3)cccc12,3.7508,2.8577
CN1c2ccccc2Sc2cc(-c3nccc4[nH]ccc34)ccc21,3.3114,2.6557
C(=Cn1c2ccccc2c2c3c(ccc21)[nH]c1ccccc13)c1ccc(-c2cnccn2)cc1,2.8699,2.2287
c1ccc2c(-c3ccnc4cnncc34)cncc2c1,3.2025,2.661
Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4cnc5cc(-c6ccc(-n7c8c(C)cccc8c8cccc(C)c87)c7nsnc67)cnc5c4)c4nsnc34)c12,1.8433,1.8328
C=Cn1c2ccncc2c2cnccc21,4.2507,3.2563
Cc1cc(C)c(-c2cncc3c2[SiH2:2]c2c-3cncc2-c2c(C)cc(C)c(-c3nc4ccccc4s3)c2C)c(C)c1C1=CC(C)c2ccccc21,3.663,2.92
N#Cc1ccc(C2CCC(n3cnc4nc5nc[nH]c5cc43)CC2)c(C#N)c1C#N,2.7744,2.7742
c1cc2c(c(-c3cncc4c3[nH]c3c(-c5ccc(-c6cc7c8c(c6)CCCN8CCC7)cc5)cncc34)c1)[SiH2:2]c1cccnc1[SiH2]2,3.0633,2.6002
CN(C)c1ccc2cc(C3CCC(c4nnc[nH]4)CC3)ccc2c1,3.602,2.5405
CC1=NC(=Cc2ccc([N+](=O)[O-])cc2)C(=O)N1Cc1ccccc1,3.0558,1.7425
O=C1C(=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)Cc2c(Br)cccc21,2.6276,1.8962
Cc1c(-c2ccc(-c3cc4c5c(c3)CCCN5CCC4)cc2)ccc(-c2cnc3ccccc3c2)c1C,3.1101,2.7449
CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4cc5sc6cc(C(C#N)C(=O)O)sc6c5s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,2.642,2.0598
CC1=C(C(F)(F)F)C(C)=[N+]2C1=Cc1c(C)cc(C)n1[B-]2(F)F,3.0234,1.5267
c1cnc2oc3cc(C4CCC(c5ncon5)CC4)ccc3c2c1,4.364,3.0699
C(=Cc1cnco1)c1ccc2c(c1)[SiH2]c1cnccc1[SiH2:2]2,3.6967,2.1086
Cc1c(C)c(-c2nnc(-c3c(C)c(C)c(-n4ccc5cnccc54)c(C)c3C)n2C)c(C)c(C)c1-c1ccc2c(c1)[nH]c1ncccc12,3.9933,3.0701
Cc1cc(C)c(-n2cc[nH]c2=O)c(C)c1-c1cccc2nn[nH]c12,3.8655,3.1716
Cc1cc(-c2cccc3ncccc23)c(C)cc1-c1cncc2c1[SiH2:2]c1c(-c3cc(C)c(-n4c5ccccc5c5ccncc54)cc3C)cncc1-2,3.4666,2.7691
FC(F)(F)C(c1ccccc1)c1c2ccoc2cc2ccoc12,4.3033,2.7803
Cc1c(C)c(-c2c3ncoc3c(-c3c(C)c(C)c(N4c5ccccc5Oc5ccccc54)c(C)c3C)c3ncoc23)c(C)c(C)c1-c1ccc2c(c1)C(C)(C)c1ccccc1-2,3.1581,2.7725
N#Cc1cc(C#N)c(-c2ccc(-c3ccc4c(c3)[CH2:2]c3cccnc3[SiH2:2]4)cc2)cc1-c1ccc(C2=Cc3ccccc3C2)cc1,2.8941,2.114
Cc1cc(C)c(-c2nc3cc4nc(-c5c(C)cc(C)c(-c6cccc7c6ccn7C)c5C)oc4nc3o2)c(C)c1-c1ccc2c(c1)Oc1ccccc1N2C,2.9654,2.9133
CC1=C(C)C(=O)C(c2cc(C)sc2C)=C(c2cc(C)sc2C)C1=O,1.7862,1.5292
c1ccc(C(c2ccc(-c3cc4c5c(c3)CCCN5CCC4)cc2)c2ccc3c(c2)[nH]c2cc(C(c4ccccc4)c4cnc5sc6ncccc6c5c4)ccc23)cc1,2.7705,2.7704
C=CCNc1ccc(C2=C3C=CC(C(C(=O)OC)C(=O)OC)=[N+]3[B-](F)(F)n3cccc32)cc1[N+](=O)[O-],2.2829,1.2169
Cc1c(C)c(-c2ccc3c(c2)sc2ncccc23)c(C)c(C)c1-c1ccc2c(c1)sc1cc(-c3c(C)c(C)c(-n4nnc5ccccc54)c(C)c3C)ccc12,3.9789,3.0665
