SMILES,TDDFT_S1,TDDFT_T1
[2H]BC1CCC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,4.9313,4.6751
[2H]BC1CC(O)C(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O1,1.3604,1.359
[2H]c1c([2H])c([2H])c(/N=N/c2c(O)ccc3ccccc23)c([2H])c1[2H],2.4044,1.6124
[2H]c1c([2H])c([2H])c2c(c1[2H])c([2H])c1c([2H])c([2H])c3c([2H])c([2H])c([2H])c4c([2H])c([2H])c2c1c34,3.1423,1.8024
[2H]C1=C([2H])C([2H])c2c3c4c(c([2H])c([2H])c5c([2H])c6c([2H])c([2H])c([2H])c([2H])c6c(c2=C1[2H])c45)C([2H])=C([2H])C3[2H],2.0807,0.5555
[2H]C([2H])([2H])Cl,6.8704,6.2242
[2H]CC1=C(n2ccc(=O)[nH]c2=O)O[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,4.2227,3.4317
[2H]C[C@H]1O[C@@H](N2C=C(/C=C/CNC)C(=O)NC2=C)C(O)[C@H]1O,3.4455,2.2622
[2H]N([2H])[2H],6.6189,6.098
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC(=O)CCCN3c4cc(OC)c(/N=N/c5ccc(C)cc5C#N)cc4C(C)=CC3(C)C)c(=O)[nH]c2=O)CC1O,2.5224,1.631
[3H]CCCCC[n+]1c(CC)c(CC)c(/C=C2\Sc3c(CC)c(CC)c(CC)c(CC)c3N2CC)c2c(CC)c(CC)c(CC)c(CC)c21,2.4913,1.6191
B1C=Cc2cc3ccccc3cc2N1,3.4657,2.22
BCC(=O)OCCN(C)c1ccc(/C=C/c2nc3ccc(N(C)C)cc3oc2=O)cc1,2.6058,1.5661
Brc1ccc(-c2nc3c(c4c2-c2ccc(Br)cc2CC4)-c2ccc(Br)cc2CC3)cc1,3.5743,2.5928
BCC(=O)OCC[n+]1c(/C=C/c2ccc(N(CC)CC)c3nonc23)sc2ccccc21,2.5115,1.4135
BPPB,3.969,3.0507
Brc1c2ccccc2c(-c2ccc(-c3ccc4ccccc4c3)cc2)c2ccccc12,3.0419,1.703
Brc1ccc2c(-c3cccc4ccccc34)c3ccccc3c(-c3cccc4ccccc34)c2c1,3.059,1.7238
Brc1cc(-c2ccccc2N(c2ccccc2)c2ccccc2)c(Br)cc1-c1ccccc1N(c1ccccc1)c1ccccc1,3.4145,3.0953
Brc1ccc2cc3c4ccccc4nc(-c4ccco4)c3n2c1,3.038,2.1256
BrC(Br)Br,4.4218,3.9948
Brc1c2ccccc2c(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c2ccccc12,2.7345,1.6361
Brc1cnc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,3.1208,2.2851
Br/C=C/Br,4.7543,3.5721
Brc1cccc(-c2cc3c4c(cccc4n2)-c2ccccc2-3)c1,3.1591,2.3254
Brc1cccc2c1ccc1cc3ccccc3cc12,3.3268,2.0433
C1=C2B(OB3C(=Cc4ccccc4N3c3ccccc3)C(c3ccccc3)=C2c2ccccc2)N(c2ccccc2)c2ccccc21,2.4976,1.0318
BrC1=CC=CN2B1C=Cc1ccccc12,3.8524,2.7603
Brc1ccc(-c2pc3ccccc3s2)cc1,3.4937,2.0706
Brc1ccc(N2c3c(sc4ccccc34)Sc3sc4ccccc4c32)cc1,2.8122,2.166
Brc1cccc(/N=C/c2c3ccccc3cc3ccccc23)c1,2.7712,1.549
c1cc2cc(c1)c1ccc3c(c1)c1cc(ccc1[C@]14OCCO[C@]31OCCO4)c1ccc3c(c1)c1cc(ccc1[C@]14OCCO[C@]31OCCO4)c1cccc2c1,3.9664,2.7649
Brc1ccc2c(c1)c1cc(-c3ccccc3)oc1c1nc3ccccc3nc21,2.7612,1.966
C1=C2B(Nc3ccccc31)c1sccc1C(c1ccccc1)=C2c1ccccc1,3.0228,1.9746
Brc1cc2nc3cc4c5c(cccc5c3nc2cc1Br)C(c1ccccc1)=C(c1ccccc1)O4,2.4208,1.7666
C1=Cc2cc3ccc(cc4nc(cc5ccc(cc1n2)[nH]5)C=C4)[nH]3,2.2748,1.4839
BrCCCCCCOc1ccc(-c2ccc(-c3sc(-c4c5c(c(-c6sc(-c7ccc(-c8ccc(OCCCCCCBr)cc8)cc7)c7c6OCCO7)c6nsnc46)N=S=N5)c4c3OCCO4)cc2)cc1,1.2252,0.2423
c1cc2ccc3cc(-c4ccncc4)cc4ccc(c1)c2c34,3.4547,2.1296
c1cc2ccc3sc4ccc5cccc6c(c1)c2c3c4c56,3.014,1.805
[BH3-][P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21,3.6555,2.467
c1cc2ccc3ccc(-n4c5ccccc5c5ccccc54)c4ccc(c1)c2c34,3.0165,2.0891
C1=C2c3cc4ccccc4cc3C3=[N+]2[B-]2(Oc4ccccc43)Oc3ccccc3-c3c4cc5ccccc5cc4c1n32,1.7367,0.8341
Brc1ccc(/C=C/c2cnc3ccccc3n2)cc1,3.2256,2.0075
C1=Cc2ccc3ccccc3c2NB1c1ccccc1,3.7068,2.6267
C1=C(c2ccccc2)C2=Nc3c(-c4ccccc4)cc4n3[B-]3(Oc5ccccc5C1=[N+]23)Oc1ccccc1-4,1.9947,0.9094
C1=C(c2ccc(-c3cccs3)s2)CCC1,3.3366,1.8661
C1=Cc2ccccc2C(=Cc2ccc(C=C3c4ccccc4C=Cc4ccccc43)cc2)c2ccccc21,3.3214,2.2747
c1cc2c3c(cccc3c1)-c1c-2ccc2ccc3ccccc3c12,2.8398,2.1271
c1cc2cnc3c4sccc4c(c1)n23,3.0517,2.3429
C1=Cc2cccc3cccc1c23,3.0754,2.1601
c1cc2c3cscc3c3ccsc3c2s1,3.4191,2.1398
C1=C(c2ccccc2)S[C@]23C1=C(c1ccccc1)[C@H](c1ccccc12)c1ccccc13,3.0326,1.7503
c1cc2c([nH]c3c4[nH]c5sccc5c4c4nsnc4c23)s1,2.8715,2.1984
c1ccc2c(c1)-c1cc3ccccc3c3cc4ccccc4c-2c13,2.805,1.8146
C1=Cc2nc1c(-c1ccco1)c1ccc([nH]1)c(-c1ccco1)c1nc(c(-c3ccco3)c3ccc([nH]3)c2-c2ccco2)C=C1,2.0233,1.3019
C1=C(c2ccccc2)C=C(c2ccccc2)/C1=C/C1CCCCC1,2.8573,1.755
c1ccc2c(c1)c1cccc3c4c5ccccc5c5cccc(c2c13)c54,2.3699,1.3647
c1ccc2c3c(ccc2c1)C1(c2cc(-c4ccc5ccc6cccc7ccc4c5c67)ccc2-c2ccc(-c4ccc5ccc6cccc7ccc4c5c67)cc21)c1ccc2ccccc2c1O3,3.0813,2.0334
c1cc2c3c(cccc3c1)C(N1CCOCCOCCOCCOCC1)=N2,2.7588,1.8592
c1ccc2c(c1)nc1c3c4ccccc4c4ccccc4c3c3ccccc3n21,3.2082,2.1894
c1cc2ccc3ccc4cc3c2cc1CCCCCCc1ccc2ccc3ccc-4cc3c2c1,3.5191,2.4696
Brc1ccc(Cn2c3ccccc3c3ccc4cc5ccccc5nc4c32)cc1,2.7844,1.8654
c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccc(-c3ccncc3)cc21,3.7756,2.7961
C1=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2C2(c3cc(N(c4ccccc4)c4ccccc4)ccc31)c1ccccc1-c1ccccc12,2.7932,2.0677
c1ccc2c(c1)-c1cccc3c1B1N2c2ccccc2N1c1ccccc1-3,3.6655,2.7265
c1ccc2c(c1)-c1cccc3oc(-c4ccc5ccccc5c4)c-2[n+]13,2.4903,1.8887
c1ccc2c(c1)c1ccccc1c1[nH]c(-c3ccc(-c4nc5c6ccccc6c6ccccc6c5[nH]4)cc3)nc21,3.0017,2.2516
c1ccc2c(c1)B1c3ccccc3-c3ccc4c5c3N1C1=C2c2ccccc2B(c2ccccc2-4)N15,3.0746,2.5081
