,SMILES,xTB_S1,xTB_T1,T1S1ratio
493716,CC(C)(CO)S(=O)(=O)c1c(Cl)ccc(NC(=O)N[C@@H]2CCC=C2Cl)c1O,4.248108317101736,3.207212537246394,0.7549742845150683
427484,N#Cc1cc2c(C(F)(F)F)c3nonc3cc2cn1,2.909452108393245,1.344518623157493,0.4621208987351258
254127,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,3.6202858312653694,2.7405090383546304,0.7569869248132716
209331,ON=CC(=NN=Cc1ccccc1O)c1ccccc1,3.08101795336286,2.0170702948168513,0.6546765794127445
137775,FC(F)(Br)C(=C1C(=C(C(F)(F)Br)C(Cl)(Cl)C(Cl)(Cl)CC(Br)(Br)Br)C(=C(C(F)(F)Br)C(Cl)(Cl)C(Cl)(Cl)CC(Br)(Br)Br)C1=C(C(F)(F)Br)C(Cl)(Cl)C(Cl)(Cl)CC(Br)(Br)Br)C(Cl)(Cl)C(Cl)(Cl)CC(Br)(Br)Br,1.7762860404947038,0.3314340056429589,0.18658819474292157
31716,CC(=O)N1CCOC(C1)CO,5.580460742920562,4.936429395708484,0.8845917251493788
559334,c1ccc2c(c1)Oc1ccc(-c3ccc4c(c3)sc3ccccc34)cc1-c1ccccc1-2,3.809198981818736,2.941746942493565,0.7722744221382213
350993,Nc1cncc2c([N+](=O)[O-])c3ccccc3cc12,2.5038991559308017,1.6709750601961666,0.6673491846659443
373865,CN(C)c1nnc([N+](=O)[O-])c2cnsc12,3.3012777341665,2.439894894892658,0.739075924949004
574103,C[C@@H](C(=O)C)C(=O)N,4.3045963415588115,3.6945056690698594,0.8582699458718531
175533,n12c3-c4c([C](C1=O)c1ccc(cc1)N)c1c(n4C(=O)[C](c3c3c2cc(c(c3)C#N)C#N)c2ccc(cc2)N)cc(c(c1)C#N)C#N,1.8838579157404367,0.9617815301959652,0.5105382535274398
246845,O=C(NN=Cc1c2ccccc2c(Cl)c2ccccc12)c1ccccc1-n1cccc1,2.5606234574212667,1.5124228018350023,0.5906463121126453
448103,FC(F)(F)c1c2ccccc2cc2onnc12,3.2908107832887863,2.137624071143465,0.6495736801394446
507698,Oc1cccc(N2CCNCC2)c1,4.51608558751938,3.5823987393234105,0.7932530661561642
572558,OCc1cocc1O,4.913952994743276,3.7438678228805715,0.7618851517069031
410444,CN(C)c1ccc2cnc3cccc4c([N+](=O)[O-])nc1c2c34,2.6191701379775703,1.713180478466305,0.6540928569799447
351876,N#Cc1cc(F)cc2cc3cnccc3cc12,3.2178977835206752,1.8156565744351263,0.5642368703360837
321889,COc1cc(F)c2c(ccc3cccnc32)c1,3.831531082425096,2.704393665861103,0.7058258455127572
345065,N#Cc1cc2ncccc2c2nc(F)ccc12,3.8065685907645537,2.697385126530237,0.7086132988840913
484002,CCOC(=O)C=C1CCSC1,4.226707939877554,3.4110233339809377,0.8070165676220709
3973,C1=CC=C(C=C1)SC(CO)(F)F,4.817999287658958,3.650234202145351,0.7576244794172606
91544,FC(F)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C[C](C1=C([C](CC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(F)F)C(Br)(Br)Br)C1=C(CC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(F)F)C(Br)(Br)Br)C(Br)(Br)Br,2.8505768019624784,1.5711921697292557,0.5511839458763466
248827,COC(=O)C1=C(C(C)C)NC(=O)N[C@H]1C=Cc1ccccc1,3.868185758707328,2.5985784092526427,0.6717822181634412
53118,ClC(Cl)(CC(Br)(Br)Br)C(Br)(Br)C1=C(Br)C=C(C(Br)(Br)C(Cl)(Cl)CC(Br)(Br)Br)C(Br)=C1,3.6120817687653286,3.0417456035747,0.8421031965216061
534643,Cc1ccc2c(c1)C(C)(C)CC(C)(C)c1cc3c(cc1-2)C(C)(C)C(C)(C)c1cc(N)ccc1-3,3.97299205770899,2.792332183490657,0.7028285339943126
196729,OC(=O)c1ccc(cc1)c1cc(cc(c1)c1c2ccccc2c(c2cc(cc(c2)c2ccc(cc2)C(O)=O)c2ccc(cc2)C(O)=O)c2ccccc12)c1ccc(cc1)C(O)=O,2.8298221128116885,1.8202313644456083,0.6432317269006853
130658,ClCC(=C1C(=C(CCl)C(Cl)(Cl)C(Cl)(Br)Br)C(=C(CCl)C(Cl)(Cl)C(Cl)(Br)Br)C1=C(CCl)C(Cl)(Cl)C(Cl)(Br)Br)C(Cl)(Cl)C(Cl)(Br)Br,2.1881783836869664,0.9269740379390556,0.4236281853662921
36544,C1=CC2=C(C3=C(C2=O)C=NC=C3)N=C1,3.0931704808608123,2.554615763311374,0.825889093122484
485384,Cc1c(CC(=O)CC2CCCNC2)cc(Cl)cc1CN1CCN(C(=O)C2CCCC2)[C@@H](C)C1,4.22033613169212,3.5574878102506355,0.8429394482434935
544352,c1ccc(-c2ccc(C3(c4ccccc4)c4ccccc4-c4ccc(-c5c6ccccc6c(-c6ccc(-c7cc(-c8ccccc8)cc(-c8ccccc8)c7)cc6)c6ccccc56)cc43)cc2)cc1,2.9917022627202288,1.8396040096077726,0.614902101900708
